"","popA","popB"
"1",239.723138265197,297.310320439941
"2",240.542568499087,221.663121743444
"3",141.751394029629,221.383227087187
"4",218.623423396383,198.497265517905
"5",184.193731538933,294.719489544104
"6",155.636827988327,235.382857717705
"7",230.338288357807,225.398283167578
"8",250.564399379404,252.426844467237
"9",204.114596455452,210.095200464869
"10",268.546194496736,199.028358311338
"11",217.069798616941,185.785833461553
"12",195.475364966501,229.046752717323
"13",201.530666427126,237.26912721525
"14",160.068795034215,190.758092542876
"15",146.337449448629,265.427500307789
"16",200.863454169662,219.380080268002
"17",214.634092566232,186.10335773819
"18",214.727140820803,220.662697991461
"19",182.752819651872,254.906436643922
"20",204.331883079256,268.078522594122
"21",172.551073412594,200.153514385278
"22",194.958344471828,229.362815723689
"23",226.041184879747,182.718463853371
"24",209.929179897698,236.611858546026
"25",189.92530241261,193.444505551187
"26",251.35461948796,227.436171989525
"27",181.40609625562,222.653946337211
"28",217.598268814683,202.251618003833
"29",208.415064948481,249.79531416791
"30",158.300688129972,196.634991114235
"31",209.840687024202,239.713858109491
"32",256.895166955222,265.963406570614
"33",251.890714055828,281.234913857071
"34",232.515647312681,243.547846001296
"35",200.768820505005,199.369907291655
"36",209.072830630118,167.453583966206
"37",182.063893724421,235.89353286391
"38",196.749256228344,226.639453824004
"39",197.165651919302,269.698346372298
"40",202.360503384625,227.581385336046
"41",176.329142913377,218.562863915684
"42",222.408416095586,219.820934549403
"43",238.021130921732,226.692603974291
"44",232.463279939965,268.906278632984
"45",206.100431225589,234.94859118957
"46",226.012544423938,270.206535969207
"47",151.725501102616,214.172119086486
"48",141.435186375821,233.443769424273
"49",181.671978143269,224.889017686796
"50",203.468660352558,271.572739522539
"51",216.747424384612,274.459333137081
"52",193.070935937568,254.075586020127
"53",224.098313387516,256.15458465858
"54",187.795440500916,287.425980381892
"55",192.764473062965,223.756397244611
"56",215.800616917365,275.700625143925
"57",210.884680159776,203.896146044241
"58",228.457095859034,219.491398014742
"59",173.413472546857,235.507203636278
"60",188.851194655221,226.201655808262
"61",164.701888098775,239.476387295344
"62",245.887934358283,229.49974615764
"63",176.980981115978,284.39858533677
"64",228.592677826456,259.479171385258
"65",188.204562389,192.95939145677
"66",164.833643747501,289.066972783274
"67",243.37204052685,272.363569585009
"68",187.486468933393,212.739365270008
"69",285.24817930598,252.816696175605
"70",179.14624341198,208.840068893248
"71",149.869496888917,291.581893743112
"72",209.706918576365,205.55885520487
"73",220.000903424591,236.480096135556
"74",201.768966463184,189.770965972326
"75",147.691239251917,252.619089377928
"76",202.939048837783,236.579482974498
"77",207.645173845057,256.071120747976
"78",222.982877437218,245.403877079299
"79",183.378847851829,223.884451401608
"80",181.575481050011,222.289728394252
"81",193.214017329452,213.436053745571
"82",205.684939850965,289.997740060891
"83",224.897349541795,254.738398378753
"84",219.235880079147,191.651358038283
"85",166.944751252469,224.882201187677
"86",176.098619030704,241.974384614845
"87",197.151346731186,288.204928743665
"88",174.407635202425,226.105870121929
"89",180.043696571812,276.508137314132
"90",189.119608179733,228.892363644159
"91",157.309336157298,170.189730616543
"92",220.124215351108,173.635143064933
"93",242.080392536025,218.547692652913
"94",216.916854279468,217.423086448943
"95",170.6606634936,266.948527539982
"96",173.363846700248,222.760621632387
"97",211.765985428353,215.970914141431
"98",201.197367726961,204.589863978584
"99",192.593472128935,243.589380445628
"100",245.297835555326,259.847413334896
"101",227.976603999563,224.743566887364
"102",186.808790814986,196.591886505547
"103",217.613085551125,279.752327749259
"104",224.504930214014,284.916546211477
"105",257.873242693057,191.678600276943
"106",189.766524043382,219.435791505237
"107",239.287680434645,182.618158626884
"108",208.138408656888,164.022938158586
"109",179.424853979166,246.466933678157
"110",181.613083683954,185.335922741466
"111",247.928717637729,238.306369150004
"112",186.362643656868,250.188488228605
"113",148.022764991144,221.058993106613
"114",162.798121406765,140.405758665928
"115",243.075432060546,202.236972325679
"116",226.799769765826,228.775235917287
"117",185.002134022104,207.878853802766
"118",226.713984144256,249.847197608821
"119",196.077836090608,265.422477282083
"120",174.826751049318,214.286347087646
"121",253.472449049317,235.021271734494
"122",202.419497327153,217.415594365349
"123",255.465937925457,250.60319234275
"124",187.516520351666,248.637722991172
"125",117.416470232529,202.064796121186
"126",234.139351472772,255.4976933839
"127",199.266930313067,223.081620021887
"128",238.910031292929,225.208248907724
"129",237.38770306596,201.335868819252
"130",118.805484662513,190.314163557206
"131",197.121809973205,296.985391006874
"132",216.381091935437,166.447750499317
"133",270.959842220908,257.376358185649
"134",156.188076182775,172.678359898262
"135",211.452046728704,199.42955211792
"136",181.506325752652,164.301778411512
"137",209.421197074031,263.762176405632
"138",225.722296738397,258.198518759184
"139",213.867035942294,223.336827082808
"140",224.824357551027,132.260923803444
"141",199.299072011004,187.435598725387
"142",204.454006171464,209.363992795192
"143",193.299149395334,222.850229770597
"144",190.784996302566,204.034819098108
"145",219.087313247028,277.71341706659
"146",189.397036703511,212.11231941739
"147",194.452962649672,259.123832903468
"148",185.105983705028,260.895575172979
"149",184.015558744982,203.046991272537
"150",189.782179857882,187.965731108319
"151",192.259530815632,270.285057142535
"152",170.927295806158,269.559677413424
"153",201.925549379286,210.599836718533
"154",215.34751616669,184.413967297824
"155",262.100834955312,266.591259353332
"156",185.574377409363,240.593347183458
"157",187.196709765005,219.691101963818
"158",223.521523156844,252.641475827108
"159",165.040367158045,219.211517216972
"160",235.368392047948,263.270497221802
"161",175.452247117557,221.691211421314
"162",206.800037236852,257.827680659183
"163",218.048999154562,233.692690601646
"164",180.497813301092,201.611380514231
"165",160.688526143897,228.303387003863
"166",231.131544230576,201.426337929076
"167",198.117577207564,258.653972628492
"168",201.658568270972,173.802779046839
"169",204.536198405453,199.157254118532
"170",197.054284660887,233.468153646568
"171",178.162334358051,170.720014450259
"172",148.349024896955,185.612610725693
"173",210.835108606522,237.122223374467
"174",182.719289668333,246.964428443799
"175",198.315800286914,237.9444097934
"176",194.982349349631,195.27730060331
"177",243.340506562309,224.933675934306
"178",196.710246510453,233.516439320099
"179",198.401012797748,213.356565707257
"180",228.704898236773,331.856493614372
"181",218.737310837112,204.384679792515
"182",228.632043767886,262.253562780018
"183",173.369025932899,169.293939424161
"184",189.666130392102,241.147548416862
"185",242.246067231626,271.157379316841
"186",205.025809115084,223.5605459353
"187",213.898678213236,211.606506725042
"188",234.34841926815,237.946733760719
"189",177.611203250211,180.978560502669
"190",195.03057299532,251.754938182068
"191",227.240120465306,228.686836595015
"192",175.650994959613,232.778765450178
"193",206.507088457613,223.079731514573
"194",192.744650918316,242.848254408585
"195",258.468118083809,228.992574006155
"196",183.812974002385,191.954762372775
"197",148.09271968495,170.958541597352
"198",280.861723985156,188.43072350475
"199",131.194351279923,189.760364958804
"200",203.978731424322,256.835946549654
"201",205.79834179959,247.219401550966
"202",208.932953580227,224.307489626959
"203",191.970357587167,223.773489445091
"204",204.854772817212,225.96523429416
"205",271.63099249815,249.639515994149
"206",215.60682367557,297.059030618447
"207",204.106443580677,244.62879278947
"208",159.477264699951,221.222665548272
"209",178.233788042188,226.543785647455
"210",149.727465745475,215.724414376187
"211",229.848173243247,205.996140314573
"212",227.399512803257,249.870911239839
"213",192.136326186696,226.737517321095
"214",229.372120620402,239.53081433672
"215",216.629967947106,233.137439624729
"216",154.333396117915,280.932830578044
"217",199.678460063851,218.021105365038
"218",216.149961087942,291.308085445267
"219",207.356239587572,251.539762242282
"220",175.45590053766,229.563953218563
"221",217.422822528349,247.268851409518
"222",204.434698200166,199.55420994992
"223",181.985576319177,226.315645405453
"224",231.298728961557,224.197412204142
"225",155.126433163542,242.14846311178
"226",178.332620977512,313.462402433411
"227",182.516100407759,260.591062829426
"228",192.762012535024,279.853357527433
"229",175.681974033649,224.997752314845
"230",198.599168155203,233.966984551041
